Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.1374,-0.29296,0.17784,0,0,0,1.6284,0.0049242,-1.4133E-05,-1.1068E-07,0.0040482,-6.8671E-06,0.0012571,0,0,0,0,0,0,package://for_simulations.SLDASM/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://for_simulations.SLDASM/meshes/base_link.STL,,back_and_hipabd_aspart-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_abd,-0.43742,0.97921,0.70833,0,0,0,0.39057,0.0017341,-6.9806E-06,-0.0009688,0.0022726,-8.6331E-06,0.0010696,0,0,0,0,0,0,package://for_simulations.SLDASM/meshes/left_hip_abd.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://for_simulations.SLDASM/meshes/left_hip_abd.STL,,hip_IR_link_aspart-2,Origin_left_hip_abd,AXis_left_hip_abd,left_hip_abd,revolute,0.67224,-0.76251,1.1314,-1.5627,0.00013065,-0.032255,base_link,-0.99987,0,-0.016127,50,2,-1.57,1.57,,,,,,,,
left_hip_IR,0.39113,-0.15777,-0.00063677,0,0,0,0.60361,0.00049231,-2.4394E-07,-1.7406E-05,0.00085484,2.4949E-06,0.0011985,0,0,0,0,0,0,package://for_simulations.SLDASM/meshes/left_hip_IR.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://for_simulations.SLDASM/meshes/left_hip_IR.STL,,hip_across_aspart-2,Origin_left_hip_IR,Axis_left_hip_IR,left_hip_IR,revolute,-0.69634,1.1375,0.73125,0,-0.03127,0.00022748,left_hip_abd,-0.00011727,-0.99997,0.0072704,0,0,-0.78,0.78,,,,,,,,
left_thigh,-0.005889,-0.29062,-0.040714,0,0,0,1.1537,0.0021801,-1.5577E-05,-4.428E-06,0.0013223,5.7443E-05,0.0028388,0,0,0,0,0,0,package://for_simulations.SLDASM/meshes/left_thigh.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://for_simulations.SLDASM/meshes/left_thigh.STL,,thigh_aspart-2,Origin_left_hip_flexion,Axis_left_hip_flexion,left_hip_flexion,continuous,0.42071,-0.15849,-0.0074375,0.01454,-0.00010065,-3.1123,left_hip_IR,5.6331E-05,-0.0072704,-0.99997,50,2,-1.57,1.57,,,,,,,,
left_shin,0.0021574,-0.24309,0.032772,0,0,0,1.0395,0.0023553,1.0349E-06,-5.6239E-06,0.001355,-1.7472E-05,0.0031452,0,0,0,0,0,0,package://for_simulations.SLDASM/meshes/left_shin.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://for_simulations.SLDASM/meshes/left_shin.STL,,shin_left_aspart1-1,Origin_left_knee_flexion,Axis_left_knee_flexion,left_knee_flexion,continuous,-0.0081414,-0.43505,-0.05129,-3.1343,0.00027035,3.1121,left_thigh,0,0,1,50,2,0,1.57,,,,,,,,
left_foot,0.026746,-0.06054,0.079853,0,0,0,0.49037,0.00061537,7.5242E-06,-5.2319E-12,0.00099018,2.6246E-12,0.00046094,0,0,0,0,0,0,package://for_simulations.SLDASM/meshes/left_foot.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://for_simulations.SLDASM/meshes/left_foot.STL,,foot_left_aspart-1,Origin_left_ankle_flexion,Axis_left_ankle_flexion,left_ankle_flexion,revolute,0.0031757,-0.40989,0.048,0,0,0,left_shin,0,0,1,0,0,-0.78,0.78,,,,,,,,
right_hip_abd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://for_simulations.SLDASM/meshes/right_hip_abd.STL,1,1,1,1,0,0,0,0,0,0,package://for_simulations.SLDASM/meshes/right_hip_abd.STL,,hip_IR_link_aspart-1,Origin_right_hip_abd,Axis_right_hip_abd,right_hip_abd,revolute,0.68706,0.15636,-0.81565,1.5762,-8.7598E-05,0,base_link,-0.99987,0,-0.016127,50,2,-1.57,1.57,,,,,,,,
right_hip_IR,-0.29558,0.96907,0.74644,0,0,0,0.60361,0.00049231,-2.4394E-07,-1.7406E-05,0.00085484,2.4949E-06,0.0011985,0,0,0,0,0,0,package://for_simulations.SLDASM/meshes/right_hip_IR.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://for_simulations.SLDASM/meshes/right_hip_IR.STL,,hip_across_aspart-1,Origin_right_hip_IR,Axis_right_hip_IR,right_hip_IR,revolute,0,0.01,0,0,-0.008859,6.4417E-05,right_hip_abd,-0.00011727,-0.99997,0.0072704,0,0,-0.78,0.78,,,,,,,,
right_thigh,0.41679,-0.13578,0.54096,0,0,0,1.1537,0.0021801,-1.5576E-05,-4.4301E-06,0.0013223,5.7444E-05,0.0028388,0,0,0,0,0,0,package://for_simulations.SLDASM/meshes/right_thigh.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://for_simulations.SLDASM/meshes/right_thigh.STL,,thigh_aspart-1,Origin_tight_hip_flexion,Axis_right_hip_flexion,tight_hip_flexion,revolute,-0.68557,0.80659,0.15801,0,0.00014564,0.020031,right_hip_IR,-5.6331E-05,0.0072704,0.99997,50,2,-1.57,1.57,,,,,,,,
right_shin,0.41134,-0.51907,0.49965,0,0,0,1.0284,0.0023551,-4.165E-05,-5.5356E-06,0.0013544,3.296E-05,0.0031449,0,0,0,0,0,0,package://for_simulations.SLDASM/meshes/right_shin.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://for_simulations.SLDASM/meshes/right_shin.STL,,shin_right_aspart-1,Origin_right_knee_flexion,Axis_right_knee_flexion,right_knee_flexion,revolute,0,0,0,0,-4.2582E-05,-0.0058569,right_thigh,-5.6331E-05,0.0072704,0.99997,50,2,0,1.57,,,,,,,,
right_foot,0.027021,-0.059446,0.078709,0,0,0,0.48847,0.00061513,3.5008E-06,-1.6769E-08,0.00099029,-3.8487E-06,0.00046094,0,0,0,0,0,0,package://for_simulations.SLDASM/meshes/right_foot.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://for_simulations.SLDASM/meshes/right_foot.STL,,foot_right_aspart-1,Origin_right_ankle_flexion,Axis_right_ankle_flexion,right_ankle_flexion,revolute,0.40858,-0.68621,0.32746,0,-0.00017972,-0.024724,right_shin,5.6331E-05,-0.0072704,-0.99997,0,0,-0.78,0.78,,,,,,,,
